frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
83,355.06,128.86,410.38,193.44,297.25,192.14,469.31,259.26,240.59,252.68,524.77,324.15,181.94,319.24,388.41,364.03,313.87,363.76,-1,-1,-1,-1,-1,-1,-1,-1
84,355.18,128.85,411.2,194.21,297.93,192.27,460.93,265.49,244.29,254.73,494.79,331.94,187.05,323.92,388.71,364.03,314.6,362.77,-1,-1,-1,-1,-1,-1,-1,-1
85,355.71,128.8,408.5,193.66,298.93,192.75,448.4,265.36,246.14,256.78,484.46,335.59,193.34,323.95,388.92,361.4,317.76,361.16,-1,-1,-1,-1,-1,-1,-1,-1
86,355.52,128.6,409.59,193.55,301.11,193.62,444.14,270.91,248.86,263.12,475.32,351.4,201.94,330.52,390.22,364.55,320.38,364.53,-1,-1,-1,-1,-1,-1,-1,-1
87,355.8,128.28,410.12,194.88,300.24,195.68,439.49,275.18,255.02,270.05,461.76,358.39,225.99,336.96,390.04,366.3,319.23,366.79,-1,-1,-1,-1,-1,-1,-1,-1
88,356.92,128.78,411.67,196.21,298.25,193.83,437.51,282.89,260.38,268.69,456.8,377.07,235.54,336.97,389.24,361.68,315.53,360.77,-1,-1,313.88,468.76,-1,-1,-1,-1
89,357.55,128.82,411.34,196.48,300.92,193.66,431.08,285.32,266.89,269.9,452.18,375.84,242.93,334.84,391.91,363.57,319.87,362.85,-1,-1,313.95,474.61,-1,-1,-1,-1
90,357.39,129.29,410.74,196.33,301.31,193.01,425.75,286.14,270.77,271.2,437.39,368.41,247.72,340.04,389.95,363.21,319.4,362.16,-1,-1,317.01,473.23,-1,-1,-1,-1
91,357.41,129.18,410.33,196.33,301.86,193.61,422.85,284.94,275.93,272.47,428.91,363.82,263.22,338.45,387.54,361.13,317.67,360.4,-1,-1,318.74,471.36,-1,-1,-1,-1
92,357.56,129.3,410.8,196.73,301.67,194.21,422.4,286.59,279.23,275.21,424.38,365.38,272.26,341.73,389.14,361.96,318.54,361.32,-1,-1,319.13,472.9,-1,-1,-1,-1
